Time (h),Discharge (Ah),Charge (Ah)
0.304786,0.0000000000,0.0140966582
0.720067,0.0201004862,0.0000000000
1.136722,0.0000000000,0.0201054402
1.552006,0.0201035297,0.0000000000
1.968619,0.0000000000,0.0201072751
2.383828,0.0201007518,0.0000000000
2.800447,0.0000000000,0.0201042294
3.215617,0.0200993361,0.0000000000
3.632161,0.0000000000,0.0201025423
4.047225,0.0200962346,0.0000000000
4.463661,0.0000000000,0.0200976969
4.878725,0.0200912793,0.0000000000
5.295339,0.0000000000,0.0200983996
5.710439,0.0200946452,0.0000000000
6.126836,0.0000000000,0.0200914337
6.541756,0.0200876305,0.0000000000
6.958261,0.0000000000,0.0200964409
7.373178,0.0200887458,0.0000000000
7.789683,0.0000000000,0.0200916901
8.204603,0.0200865159,0.0000000000
8.621189,0.0000000000,0.0200914200
9.036069,0.0200855930,0.0000000000
9.452431,0.0000000000,0.0200884769
9.867214,0.0200809882,0.0000000000
10.283481,0.0000000000,0.0200842083
10.698400,0.0200845408,0.0000000000
11.114800,0.0000000000,0.0200846155
11.529608,0.0200806073,0.0000000000
11.945936,0.0000000000,0.0200810573
12.360744,0.0200783890,0.0000000000
12.777181,0.0000000000,0.0200861201
13.191992,0.0200787370,0.0000000000
13.608319,0.0000000000,0.0200819651
14.023056,0.0200774158,0.0000000000
14.439381,0.0000000000,0.0200803134
14.854117,0.0200771218,0.0000000000
15.270261,0.0000000000,0.0200777492
15.685069,0.0200755930,0.0000000000
16.101397,0.0000000000,0.0200789409
16.516136,0.0200731121,0.0000000000
16.932461,0.0000000000,0.0200756050
17.347092,0.0200731530,0.0000000000
17.763425,0.0000000000,0.0200781428
18.178053,0.0200733193,0.0000000000
18.594131,0.0000000000,0.0200694884
19.008581,0.0200629456,0.0000000000
19.424728,0.0000000000,0.0200722184
19.839286,0.0200714720,0.0000000000
20.255539,0.0000000000,0.0200737726
20.670169,0.0200690308,0.0000000000
21.086314,0.0000000000,0.0200719413
21.500761,0.0200666248,0.0000000000
21.916833,0.0000000000,0.0200693297
22.331281,0.0200676097,0.0000000000
22.747358,0.0000000000,0.0200691540
23.161808,0.0200651572,0.0000000000
23.577778,0.0000000000,0.0200634133
23.992047,0.0200606219,0.0000000000
24.408231,0.0000000000,0.0200689941
24.822572,0.0200632058,0.0000000000
25.238572,0.0000000000,0.0200622761
25.652844,0.0200586018,0.0000000000
26.068811,0.0000000000,0.0200653166
26.483078,0.0200619555,0.0000000000
26.898969,0.0000000000,0.0200607944
27.313164,0.0200561269,0.0000000000
27.728947,0.0000000000,0.0200608425
28.143142,0.0200579783,0.0000000000
28.559033,0.0000000000,0.0200611716
28.973047,0.0200521131,0.0000000000
29.388758,0.0000000000,0.0200547713
29.802844,0.0200555250,0.0000000000
30.218556,0.0000000000,0.0200565483
30.632569,0.0200525538,0.0000000000
31.048100,0.0000000000,0.0200518188
31.461933,0.0200497271,0.0000000000
31.877536,0.0000000000,0.0200568208
32.291372,0.0200518427,0.0000000000
32.706794,0.0000000000,0.0200553361
33.120558,0.0200490819,0.0000000000
33.535981,0.0000000000,0.0200527038
33.949819,0.0200500455,0.0000000000
34.365278,0.0000000000,0.0200528152
34.779111,0.0200536659,0.0000000000
35.194606,0.0000000000,0.0200533765
35.608367,0.0200489194,0.0000000000
36.023717,0.0000000000,0.0200521458
36.437839,0.0200489996,0.0000000000
36.853336,0.0000000000,0.0200468333
37.267242,0.0200437310,0.0000000000
37.682772,0.0000000000,0.0200489801
38.096822,0.0200451251,0.0000000000
38.512139,0.0000000000,0.0200485309
38.925972,0.0200410697,0.0000000000
39.341506,0.0000000000,0.0200438871
39.755522,0.0200444449,0.0000000000
40.171131,0.0000000000,0.0200467481
40.584964,0.0200402742,0.0000000000
41.000389,0.0000000000,0.0200424292
41.414222,0.0200413408,0.0000000000
41.829572,0.0000000000,0.0200432415
42.243408,0.0200402416,0.0000000000
42.658758,0.0000000000,0.0200421587
43.072414,0.0200378449,0.0000000000
43.487583,0.0000000000,0.0200394119
43.901236,0.0200359499,0.0000000000
44.316514,0.0000000000,0.0200382748
44.730422,0.0200362175,0.0000000000
45.145669,0.0000000000,0.0200385812
45.559400,0.0200348628,0.0000000000
45.974581,0.0000000000,0.0200337138
46.388239,0.0200315936,0.0000000000
46.803589,0.0000000000,0.0200374489
47.217242,0.0200331076,0.0000000000
47.632411,0.0000000000,0.0200313225
48.045992,0.0200294913,0.0000000000
48.461169,0.0000000000,0.0200356293
48.874606,0.0200277297,0.0000000000
49.289703,0.0000000000,0.0200303752
49.703181,0.0200271543,0.0000000000
50.118169,0.0000000000,0.0200298179
50.531717,0.0200306974,0.0000000000
50.946708,0.0000000000,0.0200296118
51.360183,0.0200277331,0.0000000000
51.775178,0.0000000000,0.0200316956
52.188472,0.0200237820,0.0000000000
52.603208,0.0000000000,0.0200229748
53.016511,0.0200252590,0.0000000000
53.431467,0.0000000000,0.0200307059
53.844869,0.0200223560,0.0000000000
54.259861,0.0000000000,0.0200248843
54.673261,0.0200239154,0.0000000000
55.088178,0.0000000000,0.0200246294
55.501619,0.0200228600,0.0000000000
55.916428,0.0000000000,0.0200210872
56.329722,0.0200181953,0.0000000000
56.744531,0.0000000000,0.0200213734
57.157753,0.0200159710,0.0000000000
