[Summary]
Novonix HPC data file
Novonix
Channel: 09
Cell: 2023-12-12_fullcell_aqds_vanadium_insituUVvis.csv
Serial Number: 
Description: Enter description here...
Protocol: CCCV_fullcell_50mA_until_200mV_chrge1p3V_dischrge0p4V.pro1
Mass (g): 1.000
Capacity (Ah): 1.000
Area (cm2): 1.000
DC Offset Voltage (V): 0.00000
Started: 12/12/2023 10:58:00 AM
Version: 2.2.0.2
[End Summary]
[Protocol]
Protocol: CCCV_fullcell_50mA_until_200mV_chrge1p3V_dischrge0p4V.pro1
[0: Open_circuit_storage:]
   [End step when step time > 30 seconds]
   [Save data when Δt > 2 seconds]
   [StepLimits -999 999999 0 50 0 100 0 100 -150 500 -150 500 -0.624045864045863 1.47535724815725 -0.624045864045863 1.47535724815725 -999 2 0 2]
[5: Repeat: 8000 time(s) Node count: 3]
   [3: CC-CV_charge: 50 mA to 1.3 V]
      [During CV, End step when step time > 4 hours or when abs(I) < 5 mA]
      [Any time, Save data when ΔV > 0.002 V or when Δt > 2 seconds]
      [StepLimits 0 10 0 10 0 100 0 100 -150 500 -150 500 -0.562948402948403 1.41975823095823 -0.562948402948403 1.41975823095823 0 1.76216216216216 0 1.74234234234234]
   [4: CC-CV_discharge: 50 mA to 0.4 V]
      [During CV, End step when step time > 4 hours or when abs(I) < 5 mA]
      [Any time, Save data when ΔV > 0.002 V or when Δt > 2 seconds]
      [StepLimits 0 10 0 10 0 100 0 100 -150 500 -150 500 -0.555806715806716 1.41042686322686 -0.555806715806716 1.41042686322686 0 1.72252252252252 0 1.72252252252252]
   [6: Increment_cycle_counter:]
[End Protocol]
[Data]
Date and Time,Cycle Number,Step Type,Run Time (h),Step Time (h),Current (A),Potential (V),Capacity (Ah),Temperature (°C),Circuit Temperature (°C),Energy (Wh),dVdt (I/h),dIdt (V/h),Step Number,Step position
12/12/2023 10:58:00 AM,1,0,0.0000000,0.0000000,0.0000000000,0.45650507,0.0000000000,-9999.00000000,21.292,0.0000000000,0.0000000,0.0000000,1,1
12/12/2023 10:58:02 AM,1,0,0.0005611,0.0005611,0.0000000000,0.45643192,0.0000000000,-9999.00000000,21.292,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:04 AM,1,0,0.0011389,0.0011389,0.0000000000,0.45636451,0.0000000000,-9999.00000000,21.297,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:06 AM,1,0,0.0017167,0.0017167,0.0000000000,0.45629091,0.0000000000,-9999.00000000,21.295,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:08 AM,1,0,0.0022944,0.0022944,0.0000000000,0.45622158,0.0000000000,-9999.00000000,21.298,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:10 AM,1,0,0.0028722,0.0028722,0.0000000000,0.45615035,0.0000000000,-9999.00000000,21.301,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:12 AM,1,0,0.0034500,0.0034500,0.0000000000,0.45608347,0.0000000000,-9999.00000000,21.294,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:14 AM,1,0,0.0040278,0.0040278,0.0000000000,0.45601414,0.0000000000,-9999.00000000,21.292,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:16 AM,1,0,0.0046056,0.0046056,0.0000000000,0.45594550,0.0000000000,-9999.00000000,21.278,0.0000000000,0.0000000,0.0000000,1,0
12/12/2023 10:58:19 AM,1,0,0.0051833,0.0051833,0.0000000000,0.45587572,0.0000000000,-9999.00000000,21.281,0.0000000000,0.0000000,0.0000000,1,0
